region,state,zip3,Number of Records,postal_cd_key
Midwest,IA,521,1,52158
Midwest,IA,521,1,52159
Midwest,IA,521,1,52160
Midwest,IA,521,1,52161
Midwest,IA,521,1,52162
Midwest,IA,521,1,52163
Midwest,IA,521,1,52164
Midwest,IA,521,1,52165
Midwest,IA,521,1,52166
Midwest,IA,521,1,52168
Midwest,IA,521,1,52169
Midwest,IA,521,1,52170
Midwest,IA,521,1,52171
Midwest,IA,521,1,52172
Midwest,IA,521,1,52175
Midwest,IA,522,1,52201
Midwest,IA,522,1,52202
Midwest,IA,522,1,52203
Midwest,IA,522,1,52204
Midwest,IA,522,1,52205
Midwest,IA,522,1,52206
Midwest,IA,522,1,52207
Midwest,IA,522,1,52208
Midwest,IA,522,1,52209
Midwest,IA,522,1,52210
Midwest,IA,522,1,52211
Midwest,IA,522,1,52212
Midwest,IA,522,1,52213
Midwest,IA,522,1,52214
Midwest,IA,522,1,52215
Midwest,IA,522,1,52216
Midwest,IA,522,1,52217
Midwest,IA,522,1,52218
Midwest,IA,522,1,52219
Midwest,IA,522,1,52220
Midwest,IA,522,1,52221
Midwest,IA,522,1,52222
Midwest,IA,522,1,52223
Midwest,IA,522,1,52224
Midwest,IA,522,1,52225
Midwest,IA,522,1,52227
Midwest,IA,522,1,52228
Midwest,IA,522,1,52229
Midwest,IA,522,1,52231
Midwest,IA,522,1,52232
Midwest,IA,522,1,52233
Midwest,IA,522,1,52235
Midwest,IA,522,1,52236
Midwest,IA,522,1,52237
Midwest,IA,522,1,52240
Midwest,IA,522,1,52241
Midwest,IA,522,1,52242
Midwest,IA,522,1,52243
Midwest,IA,522,1,52244
Midwest,IA,522,1,52245
Midwest,IA,522,1,52246
Midwest,IA,522,1,52247
Midwest,IA,522,1,52248
Midwest,IA,522,1,52249
Midwest,IA,522,1,52251
Midwest,IA,522,1,52252
Midwest,IA,522,1,52253
Midwest,IA,522,1,52254
Midwest,IA,522,1,52255
Midwest,IA,522,1,52257
Midwest,IA,523,1,52301
Midwest,IA,523,1,52302
Midwest,IA,523,1,52305
Midwest,IA,523,1,52306
Midwest,IA,523,1,52307
Midwest,IA,523,1,52308
Midwest,IA,523,1,52309
Midwest,IA,523,1,52310
Midwest,IA,523,1,52312
Midwest,IA,523,1,52313
Midwest,IA,523,1,52314
Midwest,IA,523,1,52315
Midwest,IA,523,1,52316
Midwest,IA,523,1,52317
Midwest,IA,523,1,52318
Midwest,IA,523,1,52319
Midwest,IA,523,1,52320
Midwest,IA,523,1,52321
Midwest,IA,523,1,52322
Midwest,IA,523,1,52323
Midwest,IA,523,1,52324
Midwest,IA,523,1,52325
Midwest,IA,523,1,52326
Midwest,IA,523,1,52327
Midwest,IA,523,1,52328
Midwest,IA,523,1,52329
Midwest,IA,523,1,52330
Midwest,IA,523,1,52332
Midwest,IA,523,1,52333
Midwest,IA,523,1,52334
Midwest,IA,523,1,52335
Midwest,IA,523,1,52336
